Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,6413187,0,0.00,0,0.00,14.40,6362365,50822
IEFA,2712147,0,0.00,0,0.00,64.32,2699106,13041
ARKG,2358481,0,0.00,0,0.00,32.59,2322181,36300
VIXY,1043858,0,0.00,0,0.00,17.92,1039518,4340
INDA,942784,0,0.00,0,0.00,41.43,915983,26801
ITB,940244,0,0.00,0,0.00,59.44,932946,7298
SVXY,786421,0,0.00,0,0.00,50.03,776331,10090
EZU,701807,0,0.00,0,0.00,40.58,698967,2840
GOVT,566458,0,0.00,0,0.00,23.95,566358,100
VXX,475102,0,0.00,0,0.00,24.65,466562,8540
BBEU,451147,0,0.00,0,0.00,51.18,449947,1200
USMV,414366,0,0.00,0,0.00,72.86,409465,4901
SVIX,347766,0,0.00,0,0.00,11.37,344916,2850
USHY,322565,0,0.00,0,0.00,36.17,322065,500
FGRO,316011,0,0.00,0,0.00,14.42,316011,0
EFV,296962,0,0.00,0,0.00,48.13,294564,2398
QUAL,257037,0,0.00,0,0.00,122.04,256465,572
IGV,223048,0,0.00,0,0.00,277.91,218734,4314
IGE,202808,0,0.00,0,0.00,41.46,200096,2712
BBJP,195668,0,0.00,0,0.00,46.52,183882,11786
COWZ,184502,0,0.00,0,0.00,50.00,180459,4043
EEMV,175288,0,0.00,0,0.00,56.84,172718,2570
JPST,169643,0,0.00,0,0.00,50.17,168223,1420
VLUE,166191,0,0.00,0,0.00,101.61,163596,2595
EFAV,165622,0,0.00,0,0.00,67.07,162705,2917
CBOE,150030,0,0.00,0,0.00,108.00,148678,1352
REM,144838,0,0.00,0,0.00,30.35,143238,1600
MTUM,138756,0,0.00,0,0.00,143.88,138453,303
UVIX,134910,0,0.00,0,0.00,17.51,131796,3114
ICVT,127660,0,0.00,0,0.00,72.87,127035,625
BBAX,123279,0,0.00,0,0.00,51.19,106604,16675
HYD,122209,0,0.00,0,0.00,53.23,122019,190
NOBL,96225,0,0.00,0,0.00,92.31,95777,448
AAAU,96161,0,0.00,0,0.00,18.04,95711,450
PAVE,93912,0,0.00,0,0.00,25.64,93508,404
BBCA,92488,0,0.00,0,0.00,64.16,92099,389
RYLD,92199,0,0.00,0,0.00,21.91,89836,2363
IYZ,90573,0,0.00,0,0.00,27.11,90573,0
IDV,86589,0,0.00,0,0.00,30.57,85684,905
ITA,79478,0,0.00,0,0.00,100.89,79371,107
MOAT,76360,0,0.00,0,0.00,68.72,67977,8383
ECH,72822,0,0.00,0,0.00,27.59,72453,369
HEFA,70523,0,0.00,0,0.00,33.38,70423,100
IEO,64970,0,0.00,0,0.00,92.09,64970,0
FLOT,61722,0,0.00,0,0.00,50.44,61113,609
ARKQ,53709,0,0.00,0,0.00,54.00,53694,15
ITM,50725,0,0.00,0,0.00,44.66,50725,0
EFG,50031,0,0.00,0,0.00,86.40,49323,708
ARKX,48971,0,0.00,0,0.00,14.73,48610,361
ICSH,46797,0,0.00,0,0.00,50.08,46797,0
JPHY,46540,0,0.00,0,0.00,45.28,46540,0
NEAR,45975,0,0.00,0,0.00,49.43,31887,14088
PICK,43727,0,0.00,0,0.00,43.47,43584,143
VNM,43639,0,0.00,0,0.00,15.74,43562,77
DIVB,37119,0,0.00,0,0.00,39.50,37119,0
GTIP,37003,0,0.00,0,0.00,53.50,37003,0
JEMA,34044,0,0.00,0,0.00,37.76,34044,0
DAPR,32816,0,0.00,0,0.00,30.33,32716,100
ESGV,32164,0,0.00,0,0.00,71.82,32163,1
MLN,31652,0,0.00,0,0.00,17.52,31652,0
ACWV,30898,0,0.00,0,0.00,98.41,28761,2137
JMST,30264,0,0.00,0,0.00,50.42,28988,1276
DFIC,28620,0,0.00,0,0.00,23.32,28620,0
SYLD,26648,0,0.00,0,0.00,62.99,26512,136
GSEW,25280,0,0.00,0,0.00,60.48,23480,1800
ICF,24937,0,0.00,0,0.00,63.58,24335,602
LQDI,24853,0,0.00,0,0.00,26.98,24853,0
RPHS,24534,0,0.00,0,0.00,9.11,24534,0
BUFT,24350,0,0.00,0,0.00,19.19,24350,0
PRNT,20443,0,0.00,0,0.00,22.62,20343,100
PMAY,20170,0,0.00,0,0.00,28.61,20070,100
FAPR,19950,0,0.00,0,0.00,29.83,19468,482
UJAN,19642,0,0.00,0,0.00,29.73,19342,300
PTLC,19099,0,0.00,0,0.00,37.52,19099,0
OGIG,18966,0,0.00,0,0.00,27.83,14757,4209
KNG,18456,0,0.00,0,0.00,53.35,18456,0
IAGG,18107,0,0.00,0,0.00,50.78,18019,88
IYT,18087,0,0.00,0,0.00,238.49,17224,863
TAIL,17667,0,0.00,0,0.00,16.80,10066,7601
BBUS,17484,0,0.00,0,0.00,73.33,17484,0
GCOW,16041,0,0.00,0,0.00,33.74,16038,3
BUFR,15670,0,0.00,0,0.00,22.26,13010,2660
SFIG,15107,0,0.00,0,0.00,47.99,15107,0
BBRE,14796,0,0.00,0,0.00,94.64,14686,110
CNYA,14760,0,0.00,0,0.00,33.24,14227,533
FMAY,14705,0,0.00,0,0.00,35.13,14705,0
NULV,14060,0,0.00,0,0.00,36.25,14060,0
CALF,13239,0,0.00,0,0.00,38.95,13238,1
GMOM,12943,0,0.00,0,0.00,31.49,12943,0
PBEE,12106,0,0.00,0,0.00,23.46,12106,0
FCPI,11927,0,0.00,0,0.00,32.59,11927,0
FFEB,11814,0,0.00,0,0.00,35.98,11814,0
BUFD,11630,0,0.00,0,0.00,20.14,11630,0
EMHY,11324,0,0.00,0,0.00,36.79,11324,0
IFRA,10600,0,0.00,0,0.00,37.15,9871,729
FDEC,10334,0,0.00,0,0.00,31.90,10334,0
JCPI,9985,0,0.00,0,0.00,49.23,9985,0
BBIN,9888,0,0.00,0,0.00,51.47,9888,0
OMFL,9854,0,0.00,0,0.00,45.28,9854,0
OUSM,9808,0,0.00,0,0.00,33.68,9808,0
DFIS,9751,0,0.00,0,0.00,22.84,9751,0
NUSC,9747,0,0.00,0,0.00,35.99,9747,0
VFVA,9484,0,0.00,0,0.00,102.96,9206,278
NULG,9135,0,0.00,0,0.00,51.26,9135,0
GSUS,9054,0,0.00,0,0.00,55.57,9054,0
VUSB,8905,0,0.00,0,0.00,49.33,8905,0
VSGX,8432,0,0.00,0,0.00,52.41,7233,1199
IYJ,8159,0,0.00,0,0.00,95.88,8059,100
NUMV,8137,0,0.00,0,0.00,34.28,8037,100
TMFC,8047,0,0.00,0,0.00,34.30,7547,500
VAMO,7638,0,0.00,0,0.00,26.97,7638,0
XSHD,7555,0,0.00,0,0.00,21.05,7552,3
FLV,7450,0,0.00,0,0.00,59.94,7361,89
DMAY,7310,0,0.00,0,0.00,32.44,7210,100
SLVP,7273,0,0.00,0,0.00,11.49,7076,197
DDWM,7224,0,0.00,0,0.00,30.13,7224,0
SMB,7058,0,0.00,0,0.00,16.81,7058,0
EMGF,7019,0,0.00,0,0.00,45.37,7019,0
MBCC,7003,0,0.00,0,0.00,23.45,7003,0
OUSA,6977,0,0.00,0,0.00,42.27,6977,0
MSTB,6753,0,0.00,0,0.00,27.17,6753,0
CEMB,6737,0,0.00,0,0.00,43.97,6081,656
OILK,6658,0,0.00,0,0.00,56.28,6658,0
EGIS,6636,0,0.00,0,0.00,32.10,6636,0
HYMU,6633,0,0.00,0,0.00,21.70,6633,0
FNOV,6582,0,0.00,0,0.00,35.58,6582,0
VIXM,6531,0,0.00,0,0.00,34.53,6531,0
FAUG,6437,0,0.00,0,0.00,35.72,6337,100
JMUB,6353,0,0.00,0,0.00,49.30,6353,0
SMMV,6292,0,0.00,0,0.00,34.97,6292,0
EWUS,6261,0,0.00,0,0.00,35.30,6261,0
VCEB,6228,0,0.00,0,0.00,63.40,6228,0
EPRF,6162,0,0.00,0,0.00,19.58,6162,0
ESML,6047,0,0.00,0,0.00,34.26,6047,0
FYLD,6030,0,0.00,0,0.00,26.28,6030,0
DISV,5891,0,0.00,0,0.00,23.10,5891,0
FBCG,5881,0,0.00,0,0.00,24.33,5881,0
PSFF,5841,0,0.00,0,0.00,21.47,5841,0
REGL,5671,0,0.00,0,0.00,71.32,5671,0
DNOV,5615,0,0.00,0,0.00,33.01,5615,0
DAUG,5531,0,0.00,0,0.00,33.10,5431,100
BUFG,5530,0,0.00,0,0.00,18.49,5530,0
DMAR,5454,0,0.00,0,0.00,30.84,5312,142
EUCG,5420,0,0.00,0,0.00,20.60,5420,0
BOB,5409,0,0.00,0,0.00,23.74,5409,0
NUEM,5405,0,0.00,0,0.00,27.93,1822,3583
IQDG,5344,0,0.00,0,0.00,32.83,5344,0
XMPT,5292,0,0.00,0,0.00,22.57,4992,300
SMMD,5283,0,0.00,0,0.00,56.35,4383,900
VFMO,5214,0,0.00,0,0.00,116.64,5214,0
YSEP,5142,0,0.00,0,0.00,18.25,5142,0
PSMC,5000,0,0.00,0,0.00,12.52,4700,300
